"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"18","Benin","Urban Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1078719","4"
"18","Benin","Urban Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1028299","4"
"18","Benin","Urban Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","984928","4"
"18","Benin","Urban Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","941154","4"
"18","Benin","Urban Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","899006",""
"18","Benin","Urban Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1280418","2"
"18","Benin","Urban Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1220905","4"
"18","Benin","Urban Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1019980","4"
"18","Benin","Urban Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","974914","4"
"18","Benin","Urban Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","932172","4"
"18","Benin","Urban Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","891792","4"
"18","Benin","Urban Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","857191",""
"213","Bolivia","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2651974",""
"213","Bolivia","Urban Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1901401","7"
"213","Bolivia","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2501256",""
"213","Bolivia","Urban Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1793445","7"
"154","Bosnia and Herzegovina","Urban Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","885250","2"
"154","Bosnia and Herzegovina","Urban Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","845571","2"
"21","Botswana","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","202241","4"
"21","Botswana","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","481624",""
"21","Botswana","Urban Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","127371","4"
"21","Botswana","Urban Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","119213","4"
"21","Botswana","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","191287","4"
"21","Botswana","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","428856",""
"21","Botswana","Urban Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","134855","4"
"21","Botswana","Urban Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","126085","4"
"214","Brazil","Urban Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","71070966","8"
"214","Brazil","Urban Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","63360442","2"
"214","Brazil","Urban Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","57136734","2"
"214","Brazil","Urban Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","66882993","8"
"214","Brazil","Urban Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","59716389","2"
"214","Brazil","Urban Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","53854256","2"
"91","Brunei","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","118653","9"
"91","Brunei","Urban Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","82804",""
"91","Brunei","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","120046","9"
"91","Brunei","Urban Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","90607",""
"153","Bulgaria","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2816505",""
"153","Bulgaria","Urban Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2822436",""
"153","Bulgaria","Urban Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2823492",""
"153","Bulgaria","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2823222",""
"153","Bulgaria","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2825237",""
"153","Bulgaria","Urban Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2877085",""
"153","Bulgaria","Urban Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2889473",""
"153","Bulgaria","Urban Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2921903",""
"153","Bulgaria","Urban Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2925405",""
"153","Bulgaria","Urban Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2918462",""
"153","Bulgaria","Urban Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2926277",""
"153","Bulgaria","Urban Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3106469",""
"153","Bulgaria","Urban Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3092202",""
