"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"133","Tajikistan","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1949700",""
"133","Tajikistan","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1884200",""
"133","Tajikistan","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1804800",""
"133","Tajikistan","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1717259","2"
"75","Tanzania","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","9762886",""
"75","Tanzania","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","9093962",""
"132","Thailand","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","22563557","2"
"132","Thailand","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","21333350","2"
"132","Thailand","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","21199339","2"
"132","Thailand","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","21018800","2"
"132","Thailand","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","22235200","2"
"132","Thailand","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","22313513","2"
"132","Thailand","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","21694881","2"
"132","Thailand","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","21551454","2"
"132","Thailand","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","20764700","2"
"132","Thailand","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","22090200","2"
